# numservices[h/n],target(%),factor,significant[k],overhead(%),avail(%),price,time(ms)
8,0.9900,4,1,0.00,0.0000,0.00,94.04
9,0.9000,1,9,0.56,0.9999,13.05,27.39
9,0.9000,2,18,0.78,0.9934,13.05,54.75
9,0.9000,3,27,0.81,0.9576,13.05,82.12
9,0.9000,4,36,0.92,0.9608,13.05,110.04
9,0.9100,1,9,0.56,0.9999,13.05,27.51
9,0.9100,2,18,0.78,0.9934,13.05,54.74
9,0.9100,3,27,0.81,0.9576,13.05,82.53
9,0.9100,4,36,0.92,0.9608,13.05,109.97
9,0.9200,1,9,0.56,0.9999,13.05,27.58
9,0.9200,2,18,0.78,0.9934,13.05,55.27
9,0.9200,3,27,0.81,0.9576,13.05,82.54
9,0.9200,4,36,0.92,0.9608,13.05,110.15
9,0.9300,1,9,0.56,0.9999,13.05,27.54
9,0.9300,2,18,0.78,0.9934,13.05,54.88
9,0.9300,3,27,0.81,0.9576,13.05,82.21
9,0.9300,4,36,0.92,0.9608,13.05,109.77
9,0.9400,1,9,0.56,0.9999,13.05,27.49
9,0.9400,2,18,0.78,0.9934,13.05,54.69
9,0.9400,3,27,0.81,0.9576,13.05,82.32
9,0.9400,4,36,0.92,0.9608,13.05,109.69
9,0.9500,1,9,0.56,0.9999,13.05,27.50
9,0.9500,2,18,0.78,0.9934,13.05,54.96
9,0.9500,3,27,0.81,0.9576,13.05,82.59
9,0.9500,4,36,0.92,0.9608,13.05,117.78
9,0.9600,1,9,0.56,0.9999,13.05,27.78
9,0.9600,2,18,0.78,0.9934,13.05,54.84
9,0.9600,3,27,1.04,0.9977,13.05,96.18
9,0.9600,4,36,0.92,0.9608,13.05,109.76
9,0.9700,1,9,0.56,0.9999,13.05,27.38
9,0.9700,2,18,0.78,0.9934,13.05,54.80
9,0.9700,3,27,1.04,0.9977,13.05,95.90
9,0.9700,4,36,1.14,0.9978,13.05,165.73
9,0.9800,1,9,0.56,0.9999,13.05,27.53
9,0.9800,2,18,0.78,0.9934,13.05,54.79
9,0.9800,3,27,1.04,0.9977,13.05,95.94
9,0.9800,4,36,1.14,0.9978,13.05,165.29
9,0.9900,1,9,0.56,0.9999,13.05,27.57
9,0.9900,2,18,0.78,0.9934,13.05,54.91
9,0.9900,3,27,1.04,0.9977,13.05,96.36
9,0.9900,4,36,1.14,0.9978,13.05,165.08
10,0.9000,1,10,0.30,0.9971,12.31,59.42
10,0.9000,2,20,0.70,0.9777,12.31,148.66
10,0.9000,3,30,0.80,0.9309,12.31,238.61
10,0.9000,4,1,0.00,0.0000,0.00,448.54
10,0.9100,1,10,0.30,0.9971,12.31,59.51
10,0.9100,2,20,0.70,0.9777,12.31,148.65
10,0.9100,3,30,0.80,0.9309,12.31,238.64
10,0.9100,4,1,0.00,0.0000,0.00,450.09
10,0.9200,1,10,0.30,0.9971,12.31,64.42
10,0.9200,2,20,0.70,0.9777,12.31,161.01
10,0.9200,3,30,0.80,0.9309,12.31,245.16
10,0.9200,4,1,0.00,0.0000,0.00,447.55
10,0.9300,1,10,0.30,0.9971,12.31,59.49
10,0.9300,2,20,0.70,0.9777,12.31,148.76
10,0.9300,3,30,0.80,0.9309,12.31,238.73
10,0.9300,4,1,0.00,0.0000,0.00,447.91
10,0.9400,1,10,0.30,0.9971,12.31,59.97
10,0.9400,2,20,0.70,0.9777,12.31,148.74
10,0.9400,3,30,0.97,0.9929,12.31,269.62
10,0.9400,4,1,0.00,0.0000,0.00,448.76
10,0.9500,1,10,0.30,0.9971,12.31,59.82
10,0.9500,2,20,0.70,0.9777,12.31,149.56
10,0.9500,3,30,0.97,0.9929,12.31,268.88
10,0.9500,4,1,0.00,0.0000,0.00,447.36
10,0.9600,1,10,0.30,0.9971,12.31,59.53
10,0.9600,2,20,0.70,0.9777,12.31,149.45
10,0.9600,3,30,0.97,0.9929,12.31,268.97
10,0.9600,4,1,0.00,0.0000,0.00,447.36
10,0.9700,1,10,0.30,0.9971,12.31,59.62
10,0.9700,2,20,0.70,0.9777,12.31,148.98
10,0.9700,3,30,0.97,0.9929,12.31,268.94
10,0.9700,4,1,0.00,0.0000,0.00,447.79
10,0.9800,1,10,0.30,0.9971,12.31,59.57
10,0.9800,2,20,0.85,0.9977,12.31,179.00
10,0.9800,3,30,0.97,0.9929,12.31,269.18
10,0.9800,4,1,0.00,0.0000,0.00,447.63
10,0.9900,1,10,0.30,0.9971,12.31,59.46
10,0.9900,2,20,0.85,0.9977,12.31,178.37
10,0.9900,3,30,0.97,0.9929,12.31,275.16
10,0.9900,4,1,0.00,0.0000,0.00,450.31
